#JCAT	Piece	Name	LDate	GDate	ODate	Period	Perigee	PF	Apogee	AF	Inc	IF	OType	Longitude	DriftRate	TDate	TF	Flags
# Updated 2026 Jul 17 2058:25
S00553	1963-004A	Syncom 1	1963 Feb 14	1963 Feb 14 1042	2026 Jul 13 0851	    1236.221 	   28696.2 	 	   34858.6 	 	 26.65 	 	MEO	151.87W	-	1963 Feb 14	P	-
S00634	1963-031A	Syncom 2	1963 Jul 26	1963 Jul 26 1433	2026 Jul 16 1451	    1436.175 	   35757.3 	 	   35819.0 	 	 29.92 	 	GEO/T	 67.77E	 +   0.027W	1969 Apr	P	-
S00858	1964-047A	Syncom 3	1964 Aug 19	1964 Aug 20 1718	2026 Jul 16 1423	    1434.350 	   35737.9 	 	   35766.9 	 	  7.04 	 	GEO/ID	 93.73E	 +   0.432E	1974 Dec 29	P	-
S01317	1965-028A	Early Bird	1965 Apr  6	1965 Apr  9 1330	2026 Jul 17 0547	    1437.204 	   35778.4 	 	   35838.2 	 	  7.23 	 	GEO/ID	132.96W	 +   0.285W	1971 Apr	P	-
S02608	1966-110A	ATS 1	1966 Dec  7	1966 Dec  6 1846	2026 Jul 16 2053	    1435.765 	   35754.2 	 	   35806.0 	 	  5.04 	 	GEO/I	153.73E	 +   0.076E	1985 Apr	P	-
S02639	1967-001A	INTELSAT II F-2	1967 Jan 11	1967 Jan 14     	2026 Jul 17 0606	    1437.548 	   35792.3 	 	   35837.7 	 	  3.33 	 	GEO/ID	 66.28W	 +   0.371W	1977 May	P	-
S02717	1967-026A	INTELSAT II F-3	1967 Mar 23	1967 Mar 25     	2026 Jul 16 2031	    1434.734 	   35689.7 	 	   35830.1 	 	  4.15 	 	GEO/ID	 38.60E	 +   0.336E	1977 May	P	-
S02969	1967-094A	INTELSAT II F-4	1967 Sep 28	1967 Sep 30 2345	2026 Jul 17 0058	    1434.896 	   35716.7 	 	   35809.4 	 	  4.15 	 	GEO/ID	 66.35W	 +   0.295E	1977 May	P	-
S03029	1967-111A	ATS 3	1967 Nov  5	1967 Nov  6 1532	2026 Jul 17 0555	    1436.093 	   35719.9 	 	   35853.2 	 	  3.25 	 	GEO/I	105.17W	 +   0.006W	2003?	P	-
S03334	1968-063A	OPS 2222	1968 Aug  6	1968 Aug  6 1800	2026 Jul 17 0255	    1450.799 	   32258.3 	 	   39889.5 	 	  5.84 	 	GEO/NS	126.23E	 +   3.665W	1968 Sep?	P	-
